0	245	45
1	261	47
2	86	16
3	32	11
4	190	30
5	87	16
6	111	26
7	87	16
8	35	4
9	179	18
10	125	23
11	55	9
12	133	26
13	21	11
14	93	23
15	29	11
16	43	25
17	26	9
18	40	12
19	67	28
20	40	17
21	28	19
22	290	31
23	298	36
24	16	9
25	18	8
26	39	19
27	34	18
28	19	10
29	5	4
30	67	21
31	6	5
32	49	13
33	9	9
34	11	6
35	21	15
36	4	4
37	4	4
38	61	16
39	106	30
40	6	5
41	61	12
42	36	23
43	56	15
44	243	40
45	244	41
46	3	2
47	101	26
48	34	9
49	11	4
50	4	3
51	0	0
52	92	16
53	0	0
54	17	9
55	57	25
56	42	18
57	10	6
58	25	15
59	64	20
60	4	4
61	8	3
62	49	15
63	37	11
64	42	18
65	3	2
66	197	30
67	218	30
68	8	7
69	7	5
70	14	11
71	16	11
72	53	11
73	42	19
74	3	3
75	8	7
76	49	20
77	10	7
78	37	23
79	5	4
80	28	20
81	25	19
82	53	21
83	3	1
84	26	8
85	21	12
86	1	1
87	55	13
88	182	46
89	193	47
90	64	22
91	66	16
92	33	17
93	5	5
94	102	36
95	72	11
96	2	2
97	40	6
98	41	7
99	55	7
100	62	10
101	30	6
102	12	9
103	39	19
104	13	9
105	72	22
106	19	14
107	54	33
108	56	9
109	5	5
110	291	58
111	295	57
112	41	29
113	23	17
114	127	20
115	91	45
116	53	20
117	86	49
118	45	13
119	74	34
120	44	11
121	100	49
122	5	3
123	5	3
124	55	16
125	42	14
126	46	35
127	63	34
128	140	41
129	20	14
130	7	4
131	57	16
132	206	62
133	214	56
134	52	11
135	32	12
136	88	34
137	56	22
138	57	34
139	77	34
140	107	38
141	37	20
142	69	13
143	2	2
144	58	40
145	15	11
146	30	14
147	26	12
148	9	6
149	49	20
150	55	22
151	0	0
152	13	5
153	29	15
154	237	82
155	218	74
156	227	78
157	240	76
158	40	6
159	9	5
160	0	0
161	1	1
162	0	0
163	16	8
164	1	1
165	19	12
166	137	22
167	156	32
168	4	4
169	116	68
170	56	21
171	57	20
172	19	15
173	40	20
174	8	6
175	52	11
176	5	4
177	18	8
178	155	83
179	148	88
180	211	115
181	131	64
182	170	97
183	167	85
184	157	78
185	125	77
186	147	84
187	137	72
188	274	45
189	281	45
190	291	45
191	305	46
192	347	39
193	352	43
