# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
7104.1000 M228 852533 2 343.1000 w99 p20 294 N w99->c68->p20
7142.7000 M240 508487 1 18.7000 c77 p8 299 N c77->p8
7210.5000 M243 857445 1 3.5000 c72 c79 299 N c72->c79
7240.0000 M227 618726 1 511.0000 t122 c73 291 N t122->c73
7399.2000 M237 705144 3 373.2000 t121 c67 293 N t121->t125->t124->c67
7413.4000 M249 944555 2 20.4000 p25 p4 299 N p25->p17->p4
7421.1000 M206 584973 2 1307.1000 t121 w107 278 N t121->t125->w107
7516.8000 M253 908672 1 9.8000 w88 c54 299 N w88->c54
7640.0000 M215 782491 7 1262.0000 w104 c53 278 N w104->t121->t125->p18->p9->p18->c51->c53
7663.5000 M235 503057 12 698.5000 c45 w88 288 N c45->p0->c76->w91->p36->c79->w91->p6->w113->p24->c50->c76->w88
7792.2000 M182 706440 6 2388.2000 c77 c69 260 N c77->p32->c73->w83->t122->t121->c69
7843.6000 M185 502540 2 2356.6000 t120 c45 260 N t120->t125->c45
8006.7000 M245 569042 8 731.7000 c62 p9 287 N c62->c46->p13->w81->p22->c44->p21->c47->p9
8099.9000 M53 883685 2 6513.9000 w102 w111 191 N w102->t123->w111
8281.0000 M236 844026 1 1282.0000 t122 w97 278 N t122->w97
8281.4000 M217 918433 10 1851.4000 w91 p32 269 N w91->w106->w113->w106->w113->w106->c45->c59->t120->t121->p32
8299.1000 M231 717579 4 1448.1000 t121 w93 275 N t121->w91->w86->c48->w93
9205.1000 M285 613983 4 778.1000 t120 w81 287 N t120->w116->p32->t123->w81
9279.2000 M194 875828 2 3519.2000 t123 c77 241 N t123->t124->c77
9323.8000 M304 936793 6 350.8000 w112 c65 294 N w112->c43->p23->w112->p23->w97->c65
9512.2000 M309 556109 4 393.2000 w116 w97 293 N w116->w103->w91->p23->w97
9567.7000 M292 840270 1 933.7000 t122 p15 284 N t122->p15
9614.4000 M299 796314 5 786.4000 w112 p14 286 N w112->p23->w112->t123->t125->p14
9681.2000 M303 707088 3 734.2000 c52 p13 287 N c52->t124->t125->p13
9738.7000 M274 520510 7 1626.7000 p28 w93 272 N p28->c72->c63->w98->c50->c53->c50->w93
9993.7000 M328 576231 3 332.7000 c72 c40 294 N c72->p29->c60->c40
9995.8000 M319 647384 8 590.8000 w94 p17 290 N w94->c59->w83->w105->c58->c74->c60->c68->p17
