# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
6478.4000 M142 541080 33 2260.4000 w99 w101 262 N w99->p30->w99->p30->p32->c62->c47->c76->c47->c73->p11->c64->p39->w97->p35->c77->p2->w85->p38->c72->c61->c70->w89->p20->w105->p20->c53->c76->w105->c78->c77->p4->p31->w101
6606.6000 M209 714314 5 412.6000 w100 t123 293 N w100->w113->c72->c75->t120->t123
6633.8000 M206 584973 1 519.8000 t121 w107 291 N t121->w107
6913.8000 M233 908572 1 3.8000 c60 p33 299 N c60->p33
6968.2000 M218 973449 8 505.2000 w98 t121 291 N w98->w104->w117->w102->w104->w119->w117->w119->t121
6995.3000 M202 769146 4 998.3000 p17 w83 283 N p17->t124->t121->t122->w83
7145.0000 M240 508487 1 21.0000 c77 p8 299 N c77->p8
7213.0000 M243 857445 1 6.0000 c72 c79 299 N c72->c79
7222.4000 M227 618726 1 493.4000 t122 c73 291 N t122->c73
7296.6000 M213 745605 2 978.6000 w104 c51 283 N w104->t120->c51
7405.0000 M237 705144 3 379.0000 t121 c67 293 N t121->t125->w112->c67
7456.4000 M220 882837 8 934.4000 c40 w115 284 N c40->c64->w90->t120->c57->c74->w90->p14->w115
7515.4000 M253 908672 1 8.4000 w88 c54 299 N w88->c54
7788.8000 M182 706440 7 2384.8000 c77 c69 260 N c77->p32->c53->c79->t122->t121->t120->c69
8217.0000 M183 951280 21 2785.0000 c65 p23 253 N c65->w84->p4->w93->p4->w84->p33->c58->c62->p31->w113->c66->w91->w92->w91->w106->w113->c71->w90->t120->t122->p23
8280.6000 M236 844026 1 1281.6000 t122 w97 278 N t122->w97
8566.5000 M270 548566 2 565.5000 p15 c55 290 N p15->t122->c55
8575.5000 M116 972891 5 5110.5000 p2 w89 214 N p2->w90->p11->t122->t125->w89
8583.4000 M263 894847 4 782.4000 c72 w91 286 N c72->w110->c72->t124->w91
8745.7000 M295 798056 3 23.7000 c45 p32 299 N c45->c72->p16->p32
8750.8000 M267 864355 4 835.8000 c74 c42 286 N c74->p37->p20->t122->c42
9003.8000 M288 997845 2 490.8000 c44 c50 291 N c44->p39->c50
9163.8000 M180 766653 5 3811.8000 c76 p5 236 N c76->t123->t124->c73->p19->p5
9250.1000 M179 767122 7 3932.1000 p0 w94 234 N p0->p23->c73->p0->w90->t125->t120->w94
9270.6000 M194 875828 1 3510.6000 t123 c77 241 N t123->c77
9296.0000 M304 936793 8 323.0000 w112 c65 294 N w112->p23->c43->w97->c78->c43->w103->w102->c65
9409.4000 M291 643126 3 802.4000 c68 w83 286 N c68->t121->t120->w83
9436.9000 M127 975887 25 5645.9000 c71 p2 205 N c71->p24->c54->c67->c73->c58->p31->c79->p19->c63->c66->t121->t120->c60->p31->w93->c41->w98->p29->p27->p25->p27->c50->p29->c47->p2
9438.1000 M231 717579 4 2587.1000 t121 w93 256 N t121->t120->w83->w105->w93
9567.7000 M292 840270 1 933.7000 t122 p15 284 N t122->p15
10416.2000 M306 551056 5 1392.2000 c79 w81 276 N c79->w117->c74->t121->t120->w81
10418.7000 M285 613983 1 1991.7000 t120 w81 266 N t120->w81
10574.7000 M353 899662 2 195.7000 c46 w114 296 N c46->w88->w114
10842.4000 M319 647384 10 1437.4000 w94 p17 276 N w94->p14->w94->c41->t124->t125->p36->c79->p36->c52->p17
10873.5000 M266 872102 7 2991.5000 w109 c40 250 N w109->c78->c77->t120->c67->c57->t123->c40
10900.6000 M354 872250 7 490.6000 w81 w100 291 N w81->p25->c69->c62->c48->w112->t121->w100
10903.2000 M370 996110 1 17.2000 p3 w88 299 N p3->w88
11164.6000 M342 641547 3 1096.6000 w92 p16 281 N w92->c74->t120->p16
11371.0000 M382 961193 2 147.0000 c48 c58 297 N c48->w95->c58
11649.2000 M327 560289 17 2015.2000 w104 c49 266 N w104->c72->p22->w84->c74->p11->w104->w83->c48->c41->c61->c41->c62->c52->w114->c58->w101->c49
11924.1000 M344 616575 23 1799.1000 w92 w89 270 N w92->c74->c71->p6->p33->w118->c75->w81->p31->p7->w81->p31->p7->w96->p31->c74->w96->w116->p15->w116->p19->w103->t122->w89
12165.7000 M380 580309 9 1002.7000 p35 p29 283 N p35->c45->w98->c63->w98->c41->w114->c56->c71->p29
12167.8000 M256 678857 31 4564.8000 c61 p39 223 N c61->c55->w93->p21->c61->c47->c44->c51->p33->w101->c71->w105->w80->p10->w99->p19->c62->c46->t122->t121->p33->c68->p16->w93->p13->w93->p13->w104->c54->c66->c75->p39
12212.9000 M360 598098 7 1619.9000 p12 w85 273 N p12->c50->c63->c49->w86->t125->c44->w85
12399.0000 M421 739267 1 3.0000 p30 w113 299 N p30->w113
12435.2000 M419 928462 4 106.2000 w88 c72 298 N w88->c78->w80->c55->c72
12490.6000 M301 899280 8 3603.6000 p6 p8 239 N p6->c68->c41->c68->p13->w84->p7->t120->p8
12649.4000 M395 997390 20 1031.4000 c63 p23 282 N c63->w105->c45->w109->w113->p10->w113->p9->c65->p9->w98->p9->w105->p10->p9->c68->c71->p29->c68->c79->p23
12912.0000 M400 610603 1 1147.0000 t123 p31 280 N t123->p31
12953.9000 M437 601091 2 102.9000 p34 t120 298 N p34->w104->t120
13091.1000 M443 665073 4 61.1000 c54 c48 298 N c54->w119->w98->c52->c48
13321.2000 M388 989383 7 1918.2000 w100 p10 268 N w100->w93->p21->t121->t125->t124->t123->p10
13384.6000 M337 798118 3 3466.6000 p15 w99 242 N p15->t123->t125->w99
13390.1000 M430 639144 16 734.1000 t123 c73 287 N t123->w108->c44->w81->p1->p25->p26->c71->c74->p25->c41->c50->w119->p34->w119->p32->c73
13412.8000 M365 549861 5 2669.8000 t120 w111 255 N t120->c73->c41->t121->t125->w111
13439.0000 M444 575335 6 381.0000 p39 c62 293 N p39->p30->w117->p30->w117->w97->c62
13569.2000 M428 649731 6 967.2000 w102 c74 283 N w102->c77->c49->p24->t124->t123->c74
13670.7000 M412 903144 10 1545.7000 t120 w118 274 N t120->p1->p19->t121->p16->c67->c63->p24->t124->t123->w118
13696.9000 M455 956880 12 317.9000 c45 w97 294 N c45->c47->p39->c63->w107->w94->w95->c46->p29->p39->p29->c62->w97
13746.2000 M446 575021 5 630.2000 c41 w119 289 N c41->c78->c66->c67->t120->w119
14214.7000 M453 764514 1 893.7000 t123 p7 285 N t123->p7
14300.0000 M452 697421 12 1004.0000 c44 c56 283 N c44->c40->p26->c44->c55->p26->t123->w104->w89->w103->w89->c52->c56
14423.3000 M478 541908 13 365.3000 c46 p11 293 N c46->w112->w95->w94->c47->c55->c42->p22->w94->c57->w106->w85->c70->p11
14541.2000 M481 589884 8 391.2000 c47 w113 293 N c47->p22->c63->w80->w110->p35->p22->c40->w113
14556.2000 M494 721905 1 3.2000 c76 w103 299 N c76->w103
14600.0000 M431 821776 13 1915.0000 t123 p11 268 N t123->t125->w100->c73->p16->c50->p16->c65->p16->c74->c50->p35->c63->p11
14634.7000 M486 964785 1 334.7000 t123 w92 294 N t123->w92
14843.7000 M500 932064 3 107.7000 c46 c65 298 N c46->c71->p10->c65
14971.0000 M501 715701 1 203.0000 c41 c65 296 N c41->c65
15004.0000 M504 938223 4 148.0000 p7 c72 297 N p7->c68->t125->p29->c72
15041.9000 M465 588592 5 1381.9000 c60 c69 276 N c60->w109->w111->t125->t124->c69
15061.3000 M509 945457 2 65.3000 w96 c78 298 N w96->p8->c78
15295.6000 M434 870028 13 2530.6000 p19 c75 257 N p19->p32->c66->c49->p19->p32->t121->t120->t121->p27->w92->t122->p20->c75
15390.6000 M480 902484 1 1266.6000 t123 c75 278 N t123->c75
15465.0000 M490 938002 2 1037.0000 w101 c56 282 N w101->t123->c56
15511.9000 M503 719604 7 683.9000 c56 w84 288 N c56->p14->c73->w106->c58->t124->t120->w84
15657.5000 M451 898514 9 2387.5000 w99 p11 260 N w99->w113->c69->p7->c42->c69->p27->t121->t120->p11
15716.6000 M426 805894 10 3173.6000 c66 p17 247 N c66->w101->p36->w111->c44->c41->c60->t120->t121->t120->p17
15815.4000 M425 852975 2 3301.4000 w96 c47 244 N w96->t122->c47
15930.9000 M414 502802 28 3745.9000 p31 w83 237 N p31->c44->p7->c41->p27->c41->c60->t120->t121->t120->w92->c58->w98->p32->p19->w98->p29->p32->c48->p31->w100->w101->p39->p5->c42->c72->p4->c59->w83
15939.8000 M528 539440 4 356.8000 w110 p31 294 N w110->c77->w98->c46->p31
16021.2000 M488 655690 5 1654.2000 p27 w94 272 N p27->c72->c52->p0->t121->w94
16025.2000 M524 725110 9 567.2000 w86 p6 290 N w86->w87->c68->c42->c64->w108->c74->c41->c47->p6
16323.0000 M406 604322 11 4378.0000 c72 w82 227 N c72->c79->w89->c53->w116->p25->t120->p6->t121->t120->t121->w82
16528.1000 M539 807903 1 630.1000 p34 p0 289 N p34->p0
16797.6000 M545 924032 3 707.6000 p24 p1 288 N p24->w88->t120->p1
16928.6000 M555 691567 10 534.6000 p32 c69 291 N p32->w93->c74->c79->w83->p16->w83->p32->p18->w86->c69
16974.7000 M566 857488 1 257.7000 t121 c67 295 N t121->c67
17021.0000 M557 803059 8 572.0000 c41 p30 290 N c41->p37->w106->w89->p37->c61->p22->t125->p30
17192.3000 M570 674962 7 354.3000 w83 w102 294 N w83->p32->p18->w86->c69->p28->p34->w102
17200.4000 M579 955534 1 92.4000 w116 c64 298 N w116->c64
17324.2000 M571 688437 9 459.2000 w85 p26 292 N w85->c70->w112->c44->w116->c64->c74->c59->c44->p26
17657.8000 M554 598633 8 1295.8000 c54 w90 278 N c54->t125->p29->t124->c57->c43->p19->w88->w90
17739.1000 M589 663382 4 326.1000 c42 w84 294 N c42->p21->p37->c42->w84
17764.7000 M549 615588 4 1549.7000 w87 c62 274 N w87->c77->p10->t123->c62
18311.7000 M562 780049 16 1708.7000 p9 w84 271 N p9->p20->c54->c73->c54->c48->c59->c58->p21->p37->c61->p21->c55->c62->p21->w95->w84
18374.1000 M613 780307 3 262.1000 w90 c78 295 N w90->w112->c63->c78
18480.0000 M602 622814 2 696.0000 p4 p15 288 N p4->t125->p15
18676.1000 M577 551471 15 1626.1000 t120 p13 272 N t120->p9->w87->c44->p9->w87->p14->c45->w87->p14->w87->p14->p6->p20->t124->p13
18982.3000 M634 849891 7 229.3000 p38 c71 296 N p38->w109->w119->w109->p38->p22->c46->c71
19134.6000 M604 683841 14 1290.6000 c49 p35 278 N c49->c41->c54->t124->c58->p3->w102->c53->w90->c51->c53->w80->w99->w83->p35
19178.6000 M633 742634 5 454.6000 c68 c45 292 N c68->p0->c75->c57->c75->c45
19235.8000 M632 625998 6 543.8000 c58 c75 290 N c58->p3->w91->p3->p26->p34->c75
