# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
30400.4000 M928 514498 16 2973.4000 c52 w100 250 N c52->p19->c61->w119->p4->c75->c70->c49->c47->p22->p3->p22->t124->c78->c43->p36->w100
30447.0000 M997 695776 6 1000.0000 p3 p37 283 N p3->w108->c52->c65->p24->t121->p37
30700.4000 M1039 707361 1 20.4000 c56 c43 299 N c56->c43
30747.6000 M1017 958846 5 712.6000 p13 w119 288 N p13->c56->t124->p37->t125->w119
30795.3000 M1004 723151 10 1135.3000 w112 w105 281 N w112->c54->w92->w91->p28->c66->w115->w108->c46->c57->w105
30967.7000 M1041 989339 1 224.7000 c46 w98 296 N c46->w98
31194.5000 M958 860822 12 2871.5000 t124 p24 252 N t124->w115->w86->w115->c61->w86->w115->p33->t125->c45->c71->c50->p24
31321.2000 M1023 961812 15 1110.2000 c40 c74 281 N c40->w114->p29->c77->c57->c58->c57->c70->p13->c57->c69->p9->w85->w92->c71->c74
31333.8000 M1056 963591 3 147.8000 c75 w112 297 N c75->c45->c53->w112
31345.4000 M1042 847758 2 569.4000 w88 p14 290 N w88->t125->p14
31348.3000 M1025 663717 11 1074.3000 w105 w90 282 N w105->w102->p24->c66->w100->p26->w117->p26->c69->c70->c52->w90
31400.1000 M1028 695051 11 1043.1000 w92 p32 282 N w92->w118->w92->c60->w110->p37->w112->w110->w112->c55->t124->p32
31423.3000 M1057 575093 5 207.3000 w113 c44 296 N w113->c66->c64->w84->c71->c44
31533.7000 M1055 599247 6 380.7000 c47 c50 293 N c47->c75->w113->c75->c79->c75->c50
31892.9000 M1076 964996 4 109.9000 w117 w85 298 N w117->w93->c49->w110->w85
31987.5000 M1047 600542 19 1065.5000 p14 w117 282 N p14->w85->c79->w112->w103->p8->p4->t125->c76->p11->w104->c76->p11->t120->w91->c51->p25->p27->c46->w117
32076.8000 M1043 754439 5 1266.8000 c48 c51 278 N c48->c56->w91->p37->t124->c51
32089.0000 M1051 697513 5 1051.0000 w109 p14 282 N w109->p34->t123->w119->c42->p14
32325.2000 M1063 600535 9 927.2000 c46 w88 284 N c46->w104->w91->w104->p11->w104->c76->p11->t120->w88
32349.9000 M1081 672405 5 411.9000 w90 c65 293 N w90->p35->c55->w84->c49->c65
32398.7000 M1000 569202 20 2854.7000 w95 w97 252 N w95->c55->c66->c50->c68->w105->w81->w109->w81->p0->c65->w81->c60->c53->w81->c49->p34->c51->p39->t123->w97
32426.0000 M1070 830857 5 814.0000 w95 p22 286 N w95->c59->c69->c68->t120->p22
32428.6000 M1073 643251 1 725.6000 t120 c67 287 N t120->c67
32447.6000 M1071 915676 6 803.6000 w109 c49 286 N w109->c48->c68->t123->w113->w86->c49
32534.9000 M1097 702646 3 130.9000 c57 p1 297 N c57->c77->c78->p1
32773.2000 M1096 549499 7 400.2000 c79 p25 293 N c79->c66->w113->c70->w86->c42->c72->p25
32813.0000 M1065 630761 4 1354.0000 c41 w80 277 N c41->w102->w83->t120->w80
32900.0000 M1103 929912 4 324.0000 p4 c67 294 N p4->p18->w86->p4->c67
33056.7000 M1084 860134 3 1032.7000 w89 p18 282 N w89->c62->t124->p18
33143.0000 M1093 841179 1 851.0000 t124 p26 285 N t124->p26
33143.4000 M825 839696 21 8770.4000 w114 p29 153 N w114->p32->c44->w86->c47->c68->w110->c62->w110->c58->p37->c49->p37->c75->c62->t123->t121->w109->t122->p21->c44->p29
33331.0000 M1095 667099 6 985.0000 p9 w117 283 N p9->p11->p19->c68->p37->t120->w117
33627.1000 M1106 878405 3 955.1000 w81 c41 284 N w81->t121->p38->c41
33828.8000 M1120 797053 5 730.8000 p12 w101 287 N p12->p4->p27->w83->t123->w101
33946.9000 M1119 800646 4 877.9000 w94 w82 285 N w94->c70->c66->t122->w82
33978.1000 M1141 899804 1 247.1000 p16 c47 295 N p16->c47
34062.3000 M1064 544186 8 2635.3000 w91 p0 256 N w91->w104->p11->w104->c76->p11->t120->t124->p0
34410.4000 M1159 782020 1 164.4000 t120 c51 297 N t120->c51
34518.9000 M1152 807781 9 475.9000 w86 p36 292 N w86->c79->p27->p32->c73->c45->c62->p27->c68->p36
34581.4000 M1170 963871 1 17.4000 c47 w117 299 N c47->w117
34609.3000 M1118 648913 18 1573.3000 t123 p9 273 N t123->w101->w94->c59->w115->p14->w115->t122->w114->p21->p26->c67->c60->w80->w118->p5->c62->w112->p9
34627.5000 M1168 692012 2 119.5000 w102 w106 298 N w102->p22->w106
34995.1000 M1176 563242 5 251.1000 p36 t121 295 N p36->c42->p13->p37->w105->t121
35067.0000 M1115 623909 32 2121.0000 p17 w110 264 N p17->t120->p38->w80->c49->p36->c47->c55->c42->c56->w80->p38->w80->w90->w114->p21->w90->p0->c71->c73->w84->c58->c75->c77->p29->c49->c73->p24->c64->c71->c44->p38->w110
35399.5000 M1188 761815 7 302.5000 c46 c69 294 N c46->p24->p37->w107->p38->c65->w93->c69
35409.9000 M1143 573322 24 1622.9000 w116 w100 272 N w116->p5->w116->c75->w116->w112->p13->p5->c55->w80->w118->p5->c62->w112->p9->c60->c40->c72->c46->p24->p37->w107->p38->c65->w100
35501.7000 M1200 854657 2 76.7000 p16 w98 298 N p16->c72->w98
35641.2000 M1134 821872 2 2122.2000 w94 p24 264 N w94->t120->p24
35645.0000 M1153 880135 8 1576.0000 p29 w88 273 N p29->p24->c63->w119->p28->w85->c44->t124->w88
35742.8000 M1197 929061 2 399.8000 p29 p9 293 N p29->c41->p9
35849.3000 M1183 531616 1 904.3000 t123 w108 284 N t123->w108
35894.1000 M1214 956877 1 60.1000 c77 w97 298 N c77->w97
35922.6000 M1212 688282 2 147.6000 c68 c69 297 N c68->c46->c69
35965.7000 M1208 611593 6 302.7000 w97 c75 294 N w97->w116->c45->w111->p32->w111->c75
36061.9000 M1201 796247 5 605.9000 p34 c70 289 N p34->p25->c44->c63->t123->c70
36124.5000 M1169 862237 9 1586.5000 c67 c71 273 N c67->w97->w116->c67->w97->w116->c60->p32->c64->c71
36214.3000 M1226 557616 2 18.3000 w81 w115 299 N w81->w102->w115
36230.3000 M1166 945960 5 1782.3000 c42 w99 270 N c42->p11->c65->t122->t120->w99
36284.2000 M1155 510876 2 2164.2000 c46 w82 263 N c46->t120->w82
36339.6000 M1221 882193 1 291.6000 c49 p7 295 N c49->p7
36347.5000 M1195 677918 5 1058.5000 w119 w83 282 N w119->w84->t124->c65->t123->w83
36559.5000 M1229 838304 2 278.5000 p21 p23 295 N p21->t121->p23
36694.3000 M1194 753732 1 1433.3000 t124 p24 276 N t124->p24
36929.6000 M1216 962478 8 1038.6000 w109 w107 282 N w109->p11->p35->p16->c68->p35->t123->t121->w107
37184.5000 M1259 749420 1 3.5000 p37 c54 299 N p37->c54
37262.4000 M1261 990317 2 19.4000 p38 c50 299 N p38->w111->c50
37311.4000 M1257 706494 4 193.4000 c58 w80 296 N c58->p0->w89->c44->w80
37465.6000 M1267 591688 1 36.6000 c75 p35 299 N c75->p35
37724.9000 M1242 864185 9 1041.9000 w114 p9 282 N w114->c59->p38->w111->w119->c76->c40->c76->w85->p9
38155.3000 M1220 699283 7 2137.3000 c47 w116 264 N c47->p20->c59->p20->p21->p10->t125->w116
38459.0000 M1289 898633 7 368.0000 p34 c73 293 N p34->p25->p7->p25->c57->w100->c69->c73
38662.5000 M1308 787614 1 16.5000 w112 c72 299 N w112->c72
39007.8000 M1252 689062 13 2037.8000 c58 p25 266 N c58->p0->w89->c44->w80->p37->w105->w104->p0->w89->w81->p10->c63->p25
40062.7000 M1347 711905 3 251.7000 c54 w114 295 N c54->p29->c47->w114
40127.5000 M1351 918704 3 189.5000 c46 c74 296 N c46->c54->c51->c74
40152.9000 M1203 747199 27 4636.9000 c42 w96 222 N c42->p21->t125->p38->c78->t123->w119->w83->p12->c54->w99->w117->w106->p35->w113->p24->w118->c78->c40->w113->c40->c76->c59->w84->c60->c57->c68->w96
40177.7000 M1331 721694 15 839.7000 c58 p15 286 N c58->w118->w113->p35->c47->c58->c73->w118->c53->c76->c59->w84->c60->c57->c68->p15
40353.4000 M1354 546917 7 323.4000 w100 c73 294 N w100->p9->c48->w98->w89->c64->c59->c73
40402.2000 M1366 944345 1 14.2000 c44 w102 299 N c44->w102
40683.7000 M1368 755437 5 243.7000 p33 c43 295 N p33->c55->c58->p2->c74->c43
41035.5000 M1376 652854 8 346.5000 p27 c57 294 N p27->c79->w91->p13->c41->w118->w86->w118->c57
41632.8000 M1371 639947 26 1098.8000 c75 p11 281 N c75->c79->p35->w106->c70->c55->c75->w89->c55->c75->c51->c75->p0->c72->p23->c71->c76->w115->w104->c52->w106->p32->w105->w108->p37->p25->p11
41653.8000 M1375 662809 14 992.8000 w116 p23 283 N w116->c56->c60->w116->w92->w116->p6->c55->p26->p6->c71->w103->w110->c53->p23
41984.2000 M1416 614839 1 120.2000 w97 c48 297 N w97->c48
42185.6000 M1410 777381 6 498.6000 c70 c46 291 N c70->c52->w106->c75->w107->c66->c46
42438.1000 M1399 899879 10 1076.1000 p22 c69 282 N p22->p14->c55->p14->p22->c55->p17->p10->c62->c48->c69
42458.5000 M1436 863191 2 16.5000 c58 p35 299 N c58->p25->p35
42484.1000 M1404 540151 9 977.1000 p38 p21 283 N p38->c67->c69->c78->c59->c50->w109->p28->w109->p21
42575.5000 M1392 768177 20 1423.5000 c59 w114 276 N c59->c64->w84->c40->c46->c40->c71->w82->c78->p9->w94->c51->w82->c67->c46->c64->p35->c75->w115->c73->w114
