0	245	45
1	261	47
2	87	16
3	30	11
4	190	31
5	87	16
6	110	26
7	87	16
8	35	4
9	179	17
10	124	22
11	57	10
12	133	26
13	26	13
14	92	23
15	27	10
16	43	25
17	27	9
18	39	11
19	67	27
20	39	17
21	30	20
22	290	31
23	298	36
24	16	9
25	18	8
26	39	19
27	38	19
28	19	10
29	5	4
30	67	21
31	6	5
32	46	13
33	9	9
34	11	6
35	21	15
36	4	4
37	4	4
38	61	16
39	106	29
40	4	4
41	61	12
42	37	24
43	57	16
44	243	40
45	244	41
46	3	2
47	102	26
48	34	9
49	10	3
50	4	3
51	0	0
52	90	16
53	0	0
54	19	11
55	57	25
56	43	18
57	10	6
58	25	15
59	64	21
60	4	4
61	7	3
62	50	16
63	37	11
64	43	18
65	3	2
66	197	30
67	218	30
68	8	7
69	8	5
70	15	11
71	15	10
72	53	11
73	46	19
74	3	3
75	8	7
76	46	21
77	11	8
78	38	24
79	5	4
80	27	20
81	26	19
82	52	20
83	3	1
84	26	8
85	22	13
86	1	1
87	55	13
88	182	46
89	193	47
90	66	22
91	66	16
92	32	18
93	5	5
94	103	37
95	72	11
96	2	2
97	40	6
98	41	7
99	55	7
100	63	10
101	30	6
102	12	9
103	39	18
104	13	9
105	75	23
106	19	14
107	56	34
108	56	9
109	5	5
110	291	58
111	295	57
112	41	29
113	22	17
114	128	20
115	91	44
116	55	19
117	85	49
118	47	13
119	76	34
120	50	12
121	101	50
122	4	3
123	5	3
124	55	16
125	40	13
126	44	34
127	64	35
128	143	42
129	20	14
130	7	4
131	61	16
132	206	62
133	214	56
134	52	11
135	30	12
136	96	34
137	59	23
138	57	34
139	77	34
140	109	39
141	35	18
142	69	13
143	3	2
144	57	39
145	16	11
146	26	13
147	31	12
148	10	6
149	52	21
150	55	23
151	0	0
152	13	5
153	31	17
154	237	82
155	218	74
156	227	78
157	240	76
158	40	6
159	10	6
160	0	0
161	1	1
162	0	0
163	16	8
164	1	1
165	19	11
166	137	22
167	155	32
168	4	4
169	124	74
170	59	21
171	60	20
172	19	15
173	43	23
174	9	6
175	52	11
176	6	4
177	18	8
178	161	85
179	156	89
180	214	114
181	144	67
182	175	95
183	174	87
184	163	82
185	131	78
186	151	85
187	139	71
188	274	45
189	281	45
190	291	45
191	305	46
192	347	39
193	352	43
